label,svg
11,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><defs><polygon id=""hexagon"" points=""50,0 100,0 125,43.3 100,86.6 50,86.6 25,43.3""/></defs><g transform=""translate(0, 0)""><use href=""#hexagon"" x=""0"" y=""0"" fill=""sapphire""/><use href=""#hexagon"" x=""75"" y=""0"" fill=""amber""/><use href=""#hexagon"" x=""150"" y=""0"" fill=""sapphire""/><use href=""#hexagon"" x=""225"" y=""0"" fill=""amber""/></g><g transform=""translate(37.5, 43.3)""><use href=""#hexagon"" x=""0"" y=""0"" fill=""amber""/><use href=""#hexagon"" x=""75"" y=""0"" fill=""sapphire""/><use href=""#hexagon"" x=""150"" y=""0"" fill=""amber""/><use href=""#hexagon"" x=""225"" y=""0"" fill=""sapphire""/></g><g transform=""translate(0, 86.6)""><use href=""#hexagon"" x=""0"" y=""0"" fill=""sapphire""/><use href=""#hexagon"" x=""75"" y=""0"" fill=""amber""/><use href=""#hexagon"" x=""150"" y=""0"" fill=""sapphire""/><use href=""#hexagon"" x=""225"" y=""0"" fill=""amber""/></g><g transform=""translate(37.5, 129.9)""><use href=""#hexagon"" x=""0"" y=""0"" fill=""amber""/><use href=""#hexagon"" x=""75"" y=""0"" fill=""sapphire""/><use href=""#hexagon"" x=""150"" y=""0"" fill=""amber""/><use href=""#hexagon"" x=""225"" y=""0"" fill=""sapphire""/></g><g transform=""translate(0, 173.2)""><use href=""#hexagon"" x=""0"" y=""0"" fill=""sapphire""/><use href=""#hexagon"" x=""75"" y=""0"" fill=""amber""/><use href=""#hexagon"" x=""150"" y=""0"" fill=""sapphire""/><use href=""#hexagon"" x=""225"" y=""0"" fill=""amber""/></g></svg>"
12,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><rect x=""50"" y=""30"" width=""156"" height=""196"" fill=""#DAA520"" stroke=""#8B4513"" stroke-width=""4""/><polygon points=""80,30 176,30 156,50 100,50"" fill=""#DAA520"" stroke=""#8B4513"" stroke-width=""4""/><rect x=""50"" y=""130"" width=""156"" height=""10"" fill=""#8B4513""/><rect x=""80"" y=""130"" width=""10"" height=""20"" fill=""#8B4513""/><rect x=""166"" y=""130"" width=""10"" height=""20"" fill=""#8B4513""/><rect x=""20"" y=""50"" width=""30"" height=""120"" fill=""#DAA520"" stroke=""#8B4513"" stroke-width=""4""/><rect x=""206"" y=""50"" width=""30"" height=""120"" fill=""#DAA520"" stroke=""#8B4513"" stroke-width=""4""/></svg>"
13,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><rect x=""50"" y=""30"" width=""156"" height=""196"" fill=""#DAA520"" stroke=""#8B4513"" stroke-width=""4""/><polygon points=""80,30 176,30 156,50 100,50"" fill=""#DAA520"" stroke=""#8B4513"" stroke-width=""4""/><rect x=""50"" y=""130"" width=""156"" height=""10"" fill=""#8B4513""/><rect x=""80"" y=""130"" width=""10"" height=""20"" fill=""#8B4513""/><rect x=""166"" y=""130"" width=""10"" height=""20"" fill=""#8B4513""/><rect x=""20"" y=""50"" width=""30"" height=""120"" fill=""#DAA520"" stroke=""#8B4513"" stroke-width=""4""/><rect x=""206"" y=""50"" width=""30"" height=""120"" fill=""#DAA520"" stroke=""#8B4513"" stroke-width=""4""/></svg>"
14,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><rect width=""256"" height=""256"" fill=""#1a237e""/><g fill=""#ffffff"" opacity=""0.8""><circle cx=""50"" cy=""30"" r=""1.5""/><circle cx=""120"" cy=""80"" r=""1""/><circle cx=""200"" cy=""20"" r=""1.2""/><circle cx=""90"" cy=""150"" r=""1.5""/><circle cx=""180"" cy=""100"" r=""1""/><circle cx=""30"" cy=""200"" r=""1.2""/><circle cx=""220"" cy=""180"" r=""1.5""/><circle cx=""70"" cy=""220"" r=""1""/><circle cx=""150"" cy=""40"" r=""1.2""/><circle cx=""40"" cy=""120"" r=""1.5""/><circle cx=""130"" cy=""170"" r=""1""/><circle cx=""210"" cy=""140"" r=""1.2""/><circle cx=""60"" cy=""60"" r=""1.5""/><circle cx=""140"" cy=""200"" r=""1""/><circle cx=""230"" cy=""70"" r=""1.2""/><circle cx=""20"" cy=""90"" r=""1.5""/><circle cx=""100"" cy=""40"" r=""1""/><circle cx=""170"" cy=""220"" r=""1.2""/><circle cx=""80"" cy=""130"" r=""1.5""/><circle cx=""160"" cy=""80"" r=""1""/><circle cx=""240"" cy=""120"" r=""1.2""/></g></svg>"
15,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><rect width=""256"" height=""256"" fill=""#1a237e""/><g fill=""#ffffff"" opacity=""0.8""><circle cx=""50"" cy=""30"" r=""1.5""/><circle cx=""120"" cy=""80"" r=""1""/><circle cx=""200"" cy=""20"" r=""1.2""/><circle cx=""90"" cy=""150"" r=""1.5""/><circle cx=""180"" cy=""100"" r=""1""/><circle cx=""30"" cy=""200"" r=""1.2""/><circle cx=""220"" cy=""180"" r=""1.5""/><circle cx=""70"" cy=""220"" r=""1""/><circle cx=""150"" cy=""40"" r=""1.2""/><circle cx=""40"" cy=""120"" r=""1.5""/><circle cx=""130"" cy=""170"" r=""1""/><circle cx=""210"" cy=""140"" r=""1.2""/><circle cx=""60"" cy=""60"" r=""1.5""/><circle cx=""140"" cy=""200"" r=""1""/><circle cx=""230"" cy=""70"" r=""1.2""/><circle cx=""20"" cy=""90"" r=""1.5""/><circle cx=""100"" cy=""40"" r=""1""/><circle cx=""170"" cy=""220"" r=""1.2""/><circle cx=""80"" cy=""130"" r=""1.5""/><circle cx=""160"" cy=""80"" r=""1""/><circle cx=""240"" cy=""120"" r=""1.2""/></g></svg>"
16,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><rect width=""256"" height=""256"" fill=""#1a237e""/><g fill=""#ffffff"" opacity=""0.8""><circle cx=""50"" cy=""30"" r=""1.5""/><circle cx=""120"" cy=""80"" r=""1""/><circle cx=""200"" cy=""20"" r=""1.2""/><circle cx=""90"" cy=""150"" r=""1.5""/><circle cx=""180"" cy=""100"" r=""1""/><circle cx=""30"" cy=""200"" r=""1.2""/><circle cx=""220"" cy=""180"" r=""1.5""/><circle cx=""70"" cy=""220"" r=""1""/><circle cx=""150"" cy=""40"" r=""1.2""/><circle cx=""40"" cy=""120"" r=""1.5""/><circle cx=""130"" cy=""170"" r=""1""/><circle cx=""210"" cy=""140"" r=""1.2""/><circle cx=""60"" cy=""60"" r=""1.5""/><circle cx=""140"" cy=""200"" r=""1""/><circle cx=""230"" cy=""70"" r=""1.2""/><circle cx=""20"" cy=""90"" r=""1.5""/><circle cx=""100"" cy=""40"" r=""1""/><circle cx=""170"" cy=""220"" r=""1.2""/><circle cx=""80"" cy=""130"" r=""1.5""/><circle cx=""160"" cy=""80"" r=""1""/><circle cx=""240"" cy=""120"" r=""1.2""/></g></svg>"
17,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><rect width=""256"" height=""256"" fill=""#1a237e""/><g fill=""#ffffff"" opacity=""0.8""><circle cx=""50"" cy=""30"" r=""1.5""/><circle cx=""120"" cy=""80"" r=""1""/><circle cx=""200"" cy=""20"" r=""1.2""/><circle cx=""90"" cy=""150"" r=""1.5""/><circle cx=""180"" cy=""100"" r=""1""/><circle cx=""30"" cy=""200"" r=""1.2""/><circle cx=""220"" cy=""180"" r=""1.5""/><circle cx=""70"" cy=""220"" r=""1""/><circle cx=""150"" cy=""40"" r=""1.2""/><circle cx=""40"" cy=""120"" r=""1.5""/><circle cx=""130"" cy=""170"" r=""1""/><circle cx=""210"" cy=""140"" r=""1.2""/><circle cx=""60"" cy=""60"" r=""1.5""/><circle cx=""140"" cy=""200"" r=""1""/><circle cx=""230"" cy=""70"" r=""1.2""/><circle cx=""20"" cy=""90"" r=""1.5""/><circle cx=""100"" cy=""40"" r=""1""/><circle cx=""170"" cy=""220"" r=""1.2""/><circle cx=""80"" cy=""130"" r=""1.5""/><circle cx=""160"" cy=""80"" r=""1""/><circle cx=""240"" cy=""120"" r=""1.2""/></g></svg>"
18,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><rect width=""256"" height=""256"" fill=""#1a237e""/><g fill=""#ffffff"" opacity=""0.8""><circle cx=""50"" cy=""30"" r=""1.5""/><circle cx=""120"" cy=""80"" r=""1""/><circle cx=""200"" cy=""20"" r=""1.2""/><circle cx=""90"" cy=""150"" r=""1.5""/><circle cx=""180"" cy=""100"" r=""1""/><circle cx=""30"" cy=""200"" r=""1.2""/><circle cx=""220"" cy=""180"" r=""1.5""/><circle cx=""70"" cy=""220"" r=""1""/><circle cx=""150"" cy=""40"" r=""1.2""/><circle cx=""40"" cy=""120"" r=""1.5""/><circle cx=""130"" cy=""170"" r=""1""/><circle cx=""210"" cy=""140"" r=""1.2""/><circle cx=""60"" cy=""60"" r=""1.5""/><circle cx=""140"" cy=""200"" r=""1""/><circle cx=""230"" cy=""70"" r=""1.2""/><circle cx=""20"" cy=""90"" r=""1.5""/><circle cx=""100"" cy=""40"" r=""1""/><circle cx=""170"" cy=""220"" r=""1.2""/><circle cx=""80"" cy=""130"" r=""1.5""/><circle cx=""160"" cy=""80"" r=""1""/><circle cx=""240"" cy=""120"" r=""1.2""/></g></svg>"
19,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><rect width=""256"" height=""256"" fill=""#1a237e""/><g fill=""#ffffff"" opacity=""0.8""><circle cx=""50"" cy=""30"" r=""1.5""/><circle cx=""120"" cy=""80"" r=""1""/><circle cx=""200"" cy=""20"" r=""1.2""/><circle cx=""90"" cy=""150"" r=""1.5""/><circle cx=""180"" cy=""100"" r=""1""/><circle cx=""30"" cy=""200"" r=""1.2""/><circle cx=""220"" cy=""180"" r=""1.5""/><circle cx=""70"" cy=""220"" r=""1""/><circle cx=""150"" cy=""40"" r=""1.2""/><circle cx=""40"" cy=""120"" r=""1.5""/><circle cx=""130"" cy=""170"" r=""1""/><circle cx=""210"" cy=""140"" r=""1.2""/><circle cx=""60"" cy=""60"" r=""1.5""/><circle cx=""140"" cy=""200"" r=""1""/><circle cx=""230"" cy=""70"" r=""1.2""/><circle cx=""20"" cy=""90"" r=""1.5""/><circle cx=""100"" cy=""40"" r=""1""/><circle cx=""170"" cy=""220"" r=""1.2""/><circle cx=""80"" cy=""130"" r=""1.5""/><circle cx=""160"" cy=""80"" r=""1""/><circle cx=""240"" cy=""120"" r=""1.2""/></g></svg>"
20,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><rect width=""256"" height=""256"" fill=""#1a237e""/><g fill=""#ffffff"" opacity=""0.8""><circle cx=""50"" cy=""30"" r=""1.5""/><circle cx=""120"" cy=""80"" r=""1""/><circle cx=""200"" cy=""20"" r=""1.2""/><circle cx=""90"" cy=""150"" r=""1.5""/><circle cx=""180"" cy=""100"" r=""1""/><circle cx=""30"" cy=""200"" r=""1.2""/><circle cx=""220"" cy=""180"" r=""1.5""/><circle cx=""70"" cy=""220"" r=""1""/><circle cx=""150"" cy=""40"" r=""1.2""/><circle cx=""40"" cy=""120"" r=""1.5""/><circle cx=""130"" cy=""170"" r=""1""/><circle cx=""210"" cy=""140"" r=""1.2""/><circle cx=""60"" cy=""60"" r=""1.5""/><circle cx=""140"" cy=""200"" r=""1""/><circle cx=""230"" cy=""70"" r=""1.2""/><circle cx=""20"" cy=""90"" r=""1.5""/><circle cx=""100"" cy=""40"" r=""1""/><circle cx=""170"" cy=""220"" r=""1.2""/><circle cx=""80"" cy=""130"" r=""1.5""/><circle cx=""160"" cy=""80"" r=""1""/><circle cx=""240"" cy=""120"" r=""1.2""/></g></svg>"
21,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><rect x=""50"" y=""50"" width=""156"" height=""156"" fill=""#333333"" stroke=""#1a1a1a"" stroke-width=""5""/><g transform=""translate(50, 50)""><polygon points=""0,0 40,0 40,20 0,20"" fill=""#1a1a1a"" stroke=""#000000"" stroke-width=""2""/><line x1=""10"" y1=""0"" x2=""10"" y2=""20"" stroke=""#000000"" stroke-width=""2""/><line x1=""20"" y1=""0"" x2=""20"" y2=""20"" stroke=""#000000"" stroke-width=""2""/><line x1=""30"" y1=""0"" x2=""30"" y2=""20"" stroke=""#000000"" stroke-width=""2""/><polygon points=""116,0 156,0 156,20 116,20"" fill=""#1a1a1a"" stroke=""#000000"" stroke-width=""2""/><line x1=""126"" y1=""0"" x2=""126"" y2=""20"" stroke=""#000000"" stroke-width=""2""/><line x1=""136"" y1=""0"" x2=""136"" y2=""20"" stroke=""#000000"" stroke-width=""2""/><line x1=""146"" y1=""0"" x2=""146"" y2=""20"" stroke=""#000000"" stroke-width=""2""/></g></svg>"
22,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><rect x=""50"" y=""50"" width=""156"" height=""156"" fill=""#333333"" stroke=""#1a1a1a"" stroke-width=""5""/><g transform=""translate(50, 50)""><polygon points=""0,0 40,0 40,20 0,20"" fill=""#1a1a1a"" stroke=""#000000"" stroke-width=""2""/><line x1=""10"" y1=""0"" x2=""10"" y2=""20"" stroke=""#000000"" stroke-width=""2""/><line x1=""20"" y1=""0"" x2=""20"" y2=""20"" stroke=""#000000"" stroke-width=""2""/><line x1=""30"" y1=""0"" x2=""30"" y2=""20"" stroke=""#000000"" stroke-width=""2""/><polygon points=""116,0 156,0 156,20 116,20"" fill=""#1a1a1a"" stroke=""#000000"" stroke-width=""2""/><line x1=""126"" y1=""0"" x2=""126"" y2=""20"" stroke=""#000000"" stroke-width=""2""/><line x1=""136"" y1=""0"" x2=""136"" y2=""20"" stroke=""#000000"" stroke-width=""2""/><line x1=""146"" y1=""0"" x2=""146"" y2=""20"" stroke=""#000000"" stroke-width=""2""/></g></svg>"
23,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><rect x=""50"" y=""150"" width=""156"" height=""60"" fill=""#8B0000"" stroke=""#5A0000"" stroke-width=""4""/><rect x=""60"" y=""100"" width=""136"" height=""60"" fill=""#8B0000"" stroke=""#5A0000"" stroke-width=""4""/><polygon points=""60,100 196,100 176,50 80,50"" fill=""#8B0000"" stroke=""#5A0000"" stroke-width=""4""/><rect x=""50"" y=""100"" width=""10"" height=""110"" fill=""#8B0000"" stroke=""#5A0000"" stroke-width=""4""/><rect x=""196"" y=""100"" width=""10"" height=""110"" fill=""#8B0000"" stroke=""#5A0000"" stroke-width=""4""/><circle cx=""60"" cy=""110"" r=""4"" fill=""#B8860B""/><circle cx=""80"" cy=""110"" r=""4"" fill=""#B8860B""/><circle cx=""100"" cy=""110"" r=""4"" fill=""#B8860B""/><circle cx=""120"" cy=""110"" r=""4"" fill=""#B8860B""/><circle cx=""140"" cy=""110"" r=""4"" fill=""#B8860B""/><circle cx=""160"" cy=""110"" r=""4"" fill=""#B8860B""/><circle cx=""180"" cy=""110"" r=""4"" fill=""#B8860B""/><circle cx=""200"" cy=""110"" r=""4"" fill=""#B8860B""/><circle cx=""60"" cy=""130"" r=""4"" fill=""#B8860B""/><circle cx=""80"" cy=""130"" r=""4"" fill=""#B8860B""/><circle cx=""100"" cy=""130"" r=""4"" fill=""#B8860B""/><circle cx=""120"" cy=""130"" r=""4"" fill=""#B8860B""/><circle cx=""140"" cy=""130"" r=""4"" fill=""#B8860B""/><circle cx=""160"" cy=""130"" r=""4"" fill=""#B8860B""/><circle cx=""180"" cy=""130"" r=""4"" fill=""#B8860B""/><circle cx=""200"" cy=""130"" r=""4"" fill=""#B8860B""/><circle cx=""60"" cy=""150"" r=""4"" fill=""#B8860B""/><circle cx=""80"" cy=""150"" r=""4"" fill=""#B8860B""/><circle cx=""100"" cy=""150"" r=""4"" fill=""#B8860B""/><circle cx=""120"" cy=""150"" r=""4"" fill=""#B8860B""/><circle cx=""140"" cy=""150"" r=""4"" fill=""#B8860B""/><circle cx=""160"" cy=""150"" r=""4"" fill=""#B8860B""/><circle cx=""180"" cy=""150"" r=""4"" fill=""#B8860B""/><circle cx=""200"" cy=""150"" r=""4"" fill=""#B8860B""/></svg>"
24,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><rect x=""50"" y=""150"" width=""156"" height=""60"" fill=""#8B0000"" stroke=""#5A0000"" stroke-width=""4""/><rect x=""60"" y=""100"" width=""136"" height=""60"" fill=""#8B0000"" stroke=""#5A0000"" stroke-width=""4""/><polygon points=""60,100 196,100 176,50 80,50"" fill=""#8B0000"" stroke=""#5A0000"" stroke-width=""4""/><rect x=""50"" y=""100"" width=""10"" height=""110"" fill=""#8B0000"" stroke=""#5A0000"" stroke-width=""4""/><rect x=""196"" y=""100"" width=""10"" height=""110"" fill=""#8B0000"" stroke=""#5A0000"" stroke-width=""4""/><circle cx=""60"" cy=""110"" r=""4"" fill=""#B8860B""/><circle cx=""80"" cy=""110"" r=""4"" fill=""#B8860B""/><circle cx=""100"" cy=""110"" r=""4"" fill=""#B8860B""/><circle cx=""120"" cy=""110"" r=""4"" fill=""#B8860B""/><circle cx=""140"" cy=""110"" r=""4"" fill=""#B8860B""/><circle cx=""160"" cy=""110"" r=""4"" fill=""#B8860B""/><circle cx=""180"" cy=""110"" r=""4"" fill=""#B8860B""/><circle cx=""200"" cy=""110"" r=""4"" fill=""#B8860B""/><circle cx=""60"" cy=""130"" r=""4"" fill=""#B8860B""/><circle cx=""80"" cy=""130"" r=""4"" fill=""#B8860B""/><circle cx=""100"" cy=""130"" r=""4"" fill=""#B8860B""/><circle cx=""120"" cy=""130"" r=""4"" fill=""#B8860B""/><circle cx=""140"" cy=""130"" r=""4"" fill=""#B8860B""/><circle cx=""160"" cy=""130"" r=""4"" fill=""#B8860B""/><circle cx=""180"" cy=""130"" r=""4"" fill=""#B8860B""/><circle cx=""200"" cy=""130"" r=""4"" fill=""#B8860B""/><circle cx=""60"" cy=""150"" r=""4"" fill=""#B8860B""/><circle cx=""80"" cy=""150"" r=""4"" fill=""#B8860B""/><circle cx=""100"" cy=""150"" r=""4"" fill=""#B8860B""/><circle cx=""120"" cy=""150"" r=""4"" fill=""#B8860B""/><circle cx=""140"" cy=""150"" r=""4"" fill=""#B8860B""/><circle cx=""160"" cy=""150"" r=""4"" fill=""#B8860B""/><circle cx=""180"" cy=""150"" r=""4"" fill=""#B8860B""/><circle cx=""200"" cy=""150"" r=""4"" fill=""#B8860B""/></svg>"
